state_cL,ftype_cL,fsource_cL,fsink_cL,cL,exmL,state_exmL,ftype_exmL,fsource_exmL,fsink_exmL,c,exm,empty
CA,Inflow,NA,Zone Groundwater,Water Release Caused by Land Subsidence-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#WaterReleaseCausedByLandSubsidence-CA,NA,NA
WY,NA,Zone Groundwater,Zone Land System,Domestic Total Use-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#DomesticTotalUse-WY,NA,NA
CA,NA,NA,NA,Total Outflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#TotalOutflow-CA,NA,NA
NM,NA,NA,NA,Commercial: Unmetered-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Commercial%3AUnmetered-NMOSE,NA,NA
NM,NA,NA,NA,Land Surface Stock-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#LandSurfaceStock-NM,NA,NA
NM,NA,NA,NA,Livestock: Unmetered-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Livestock%3AUnmetered-NMOSE,NA,NA
NM,Internal Transfer,Zone Land System,Zone Groundwater,Groundwater Return-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#GroundwaterReturn-NM,NA,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Commercial-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Commercial-NMOSE,NA,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Commercial-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Commercial-NMOSE,NA,NA
CO,Outflow,Zone Surface Water,Atmosphere,Municipal and Industrial Consumptive Use-CO,Municipal and Industrial Depeltion-UT,UT,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDepeltion-UT,NA
CO,Outflow,Zone Groundwater,Atmosphere,Municipal and Industrial Consumptive Use-CO,Municipal and Industrial Depeltion-UT,UT,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDepeltion-UT,NA
CO,Outflow,Zone Surface Water,Atmosphere,Municipal and Industrial Consumptive Use-CO,Municipal and Industrial Depeltion-UT,UT,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDepeltion-UT,NA
CO,Outflow,Zone Groundwater,Atmosphere,Municipal and Industrial Consumptive Use-CO,Municipal and Industrial Depeltion-UT,UT,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDepeltion-UT,NA
UT,Internal Transfer,Zone Surface Water,Zone Land System,Agricultural and Municipal Diversions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#AgriculturalAndMunicipalDiversions-UT,NA,NA
UT,Internal Transfer,Zone Groundwater,Zone Land System,Agricultural and Municipal Diversions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#AgriculturalAndMunicipalDiversions-UT,NA,NA
